"","U_ID","CODEBASE","CODE1","CODE2","VILLCODE","VILLAGE_ID","VILLAGE","TOWN_ID","TOWN","COUNTY_ID","COUNTY","USE_CODE","LINE","SPECODE","X","Y","AREA","M","USECODE"
"1",1972,"A6310-0024-00","A6310-01-006","A6310-01","A6310-012-00","012","大湖里","63000100","內湖區","63000","臺北市","11","12",NA,310951.8406,2775913.38245,362112.90727,NA,NA
"2",1973,"A6311-0791-00","A6311-61-005","A6311-61","A6311-023-00","023","福安里","63000110","士林區","63000","臺北市","03","05",NA,300103.56005,2776285.87746,17541.31869,NA,NA
"3",1974,"A6311-0787-00","A6311-67-002","A6311-67","A6311-004-00","004","福德里","63000110","士林區","63000","臺北市","03","05",NA,302742.35826,2776311.85156,3627.65319,NA,NA
"4",1975,"A6311-0793-00","A6311-62-004","A6311-62","A6311-007-00","007","福佳里","63000110","士林區","63000","臺北市","03","05",NA,302298.08171,2776277.72508,15430.37397,NA,NA
"5",1976,"A6311-0807-00","A6311-67-008","A6311-67","A6311-004-00","004","福德里","63000110","士林區","63000","臺北市","05","05",NA,302823.86029,2776199.10042,52775.40011,NA,NA
"6",1977,"A6311-0792-00","A6311-67-003","A6311-67","A6311-004-00","004","福德里","63000110","士林區","63000","臺北市","03","05",NA,302673.6896,2776278.50828,5634.48327,NA,NA
"7",2153,"A6310-0030-00","A6310-04-002","A6310-04","A6310-014-00","014","金瑞里","63000100","內湖區","63000","臺北市","03","05",NA,308917.03814,2775828.82723,2457.99042,NA,NA
"8",2154,"A6311-0939-00","A6311-71-008","A6311-71","A6311-021-00","021","社園里","63000110","士林區","63000","臺北市","02","05",NA,301104.98336,2775820.1275,4426.53561,NA,NA
"9",2155,"A6310-0031-00","A6310-05-002","A6310-05","A6310-012-00","012","大湖里","63000100","內湖區","63000","臺北市","03","05",NA,310486.08944,2775818.2868,2599.75575,NA,NA
"10",2156,"A6311-0952-00","A6311-77-005","A6311-77","A6311-001-00","001","仁勇里","63000110","士林區","63000","臺北市","02","05",NA,303037.54072,2775790.94389,8647.23296,NA,NA
"11",2157,"A6311-0947-00","A6311-75-001","A6311-75","A6311-008-00","008","後港里","63000110","士林區","63000","臺北市","03","05",NA,302042.01151,2775803.96838,3331.32638,NA,NA
"12",2158,"A6311-0955-00","A6311-76-002","A6311-76","A6311-019-00","019","社子里","63000110","士林區","63000","臺北市","02","05",NA,301515.58916,2775785.01885,5993.50334,NA,NA
"13",2159,"A6311-0954-00","A6311-72-009","A6311-72","A6311-021-00","021","社園里","63000110","士林區","63000","臺北市","03","05",NA,301188.45746,2775792.65703,4715.34967,NA,NA
