能源用戶名稱,所在區域
大同股份有限公司(表裝中心),臺北市中山區
台北自來水事業處大同加壓站,臺北市中山區
台灣菸酒股份有限公司台北啤酒工場,臺北市中山區
臺北自來水事業處(公館淨水場),臺北市中正區
臺北自來水事業處長興淨水場,臺北市大安區
德州儀器工業股份有限公司,新北市中和區
台灣松下電器股份有限公司,新北市中和區
大興電線電纜股份有限公司,新北市土城區
三龍產業股份有限公司,新北市土城區
台灣通用器材股份有限公司,新北市新店區
中央印製廠,新北市新店區
臺灣菸酒股份有限公司臺北菸廠,新北市新店區
台灣國際造船股份有限公司基隆廠,基隆市中正區
台灣肥料股份有限公司基隆廠,基隆市中山區
華豐鋼鐵鍛造廠股份有限公司,新北市金山區
台灣化學纖維股份有限公司宜蘭廠,宜蘭縣礁溪鄉
興中紙業股份有限公司二結廠,宜蘭縣五結鄉
台灣水泥股份有限公司蘇澳廠(散裝發貨站),宜蘭縣蘇澳鎮
潤泰精密材料股份有限公司宜蘭冬山廠,宜蘭縣冬山鄉
台灣塑膠工業股份有限公司冬山廠,宜蘭縣冬山鄉
台灣化學纖維股份有限公司龍德廠,宜蘭縣冬山鄉
台灣水泥股份有限公司蘇澳廠,宜蘭縣蘇澳鎮
立祥工業股份有限公司,宜蘭縣蘇澳鎮
東碱股份有限公司蘇澳總廠,宜蘭縣蘇澳鎮
信大水泥股份有限公司,宜蘭縣蘇澳鎮
幸福水泥股份有限公司東澳廠,宜蘭縣南澳鄉
四維精密材料股份有限公司桃園廠,桃園市桃園區
大宇紡織股份有限公司桃園一廠,桃園市桃園區
南僑化學工業股份有限公司桃園廠,桃園市龜山區
宏益纖維工業股份有限公司鶯歌廠,新北市鶯歌區
新昕纖維股份有限公司,桃園市龜山區
宏洲化學工業股份有限公司桃園工廠,桃園市龜山區
中央造幣廠,桃園市龜山區
集盛實業股份有限公司,桃園市龜山區
台灣中油股份有限公司桃園煉油廠,桃園市龜山區
新隆纖維染整股份有限公司桃園廠,桃園市桃園區
華通電腦股份有限公司,桃園市蘆竹區
瑞泰纖維工業股份有限公司,桃園市八德區
東培工業股份有限公司桃園廠,桃園市八德區
義隆纖維工業股份有限公司,桃園市龜山區
東隆興業股份有限公司桃園廠,桃園市桃園區
黃家紡織股份有限公司桃園廠,桃園市蘆竹區
群鹿企業股份有限公司,桃園市蘆竹區
宏宇金屬建材股份有限公司,桃園市蘆竹區
南洋染整股份有限公司第三廠,桃園市蘆竹區
雅勝冷凍食品股份有限公司,桃園市蘆竹區
大同染整股份有限公司桃園廠,桃園市蘆竹區
新光合成纖維股份有限公司中壢廠,桃園市平鎮區
和友紡織廠股份有限公司第二廠,桃園市觀音區
泰豐輪胎股份有限公司,桃園市中壢區
遠東新世紀股份有限公司內壢紡織廠,桃園市中壢區
台灣富綢纖維股份有限公司,桃園市八德區
中華台亞股份有限公司,桃園市八德區
瑞泰纖維工業股份有限公司染整廠,桃園市八德區
現代印染整理股份有限公司,桃園市八德區
太平洋電線電纜股份有限公司桃園工廠,桃園市八德區
台灣華可貴股份有限公司,桃園市中壢區
福特六和汽車股份有限公司,桃園市中壢區
日月光半導體製造股份有限公司中壢分公司,桃園市中壢區
六和機械股份有限公司,桃園市中壢區
黑松股份有限公司中壢廠,桃園市中壢區
佳格食品股份有限公司中壢廠,桃園市中壢區
東元電機股份有限公司,桃園市中壢區
勝宏實業股份有限公司大園工廠,桃園市大園區
統一企業股份有限公司中壢廠,桃園市中壢區
幸福水泥股份有限公司埔心廠,桃園市楊梅區
美亞鋼管廠股份有限公司,桃園市楊梅區
中華汽車工業股份有限公司,桃園市楊梅區
厚生股份有限公司桃園廠,桃園市龍潭區
台灣東電化股份有限公司,桃園市楊梅區
白馬窯業股份有限公司楊梅廠,桃園市楊梅區
統一企業股份有限公司楊梅廠,桃園市楊梅區
中興紡織股份有限公司楊梅化纖廠,桃園市楊梅區
大展電線電纜股份有限公司,桃園市觀音區
利華羊毛工業股份有限公司新屋廠,桃園市新屋區
大同股份有限公司桃園壹廠,桃園市大園區
大同股份有限公司大園廠,桃園市大園區
大同股份有限公司桃園電線電纜廠,桃園市大園區
